               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11961,            0.011298,            0.034619,             0.47604,              0.1211,            0.044977,           0.0086598,             0.10295,           0.0087279,            0.015131,            0.003326,            0.003326,            0.070066
                   1,            0.099387,            0.010671,            0.014759,             0.59139,             0.15127,             0.18371,            0.052912,            0.090404,           0.0080223,            0.012145,           0.0066534,           0.0066534,             0.04006
                   2,            0.094876,            0.010299,            0.013785,             0.54486,             0.16065,             0.11619,            0.034752,            0.095964,           0.0083724,            0.031065,           0.0099572,           0.0099572,            0.010031
                   3,            0.094298,            0.010131,            0.014587,             0.23025,             0.22426,             0.12857,            0.036583,            0.092203,           0.0081678,            0.016004,           0.0099203,           0.0099203,           0.0099203
                   4,            0.089967,           0.0099498,            0.012208,             0.38173,             0.25131,             0.23704,            0.072296,            0.083522,           0.0078555,            0.010088,           0.0099203,           0.0099203,           0.0099203
                   5,            0.085165,            0.010268,            0.010556,             0.39135,             0.32489,             0.27311,            0.088216,            0.081639,           0.0076311,            0.011749,           0.0098586,           0.0098586,           0.0098586
                   6,             0.08422,            0.010069,            0.010659,             0.47421,             0.35339,             0.32128,             0.11393,            0.077536,           0.0077177,           0.0081963,           0.0097798,           0.0097798,           0.0097798
                   7,            0.082238,            0.010134,           0.0094856,             0.38977,             0.35269,              0.2905,             0.10761,            0.077009,            0.007695,           0.0079346,            0.009684,            0.009684,            0.009684
                   8,            0.081478,             0.00982,            0.010046,              0.4707,              0.3739,             0.37099,             0.13463,            0.076006,           0.0072427,           0.0076421,           0.0095717,           0.0095717,           0.0095717
                   9,            0.080492,           0.0098643,           0.0092071,             0.37474,             0.37366,             0.33103,             0.11071,            0.075578,           0.0072615,           0.0082681,           0.0094434,           0.0094434,           0.0094434
                  10,            0.078361,           0.0097124,            0.009291,             0.47018,             0.39614,             0.39122,              0.1433,            0.072809,           0.0071833,           0.0070278,           0.0092995,           0.0092995,           0.0092995
                  11,            0.076831,            0.009511,           0.0083681,             0.43145,             0.44746,             0.42017,             0.16388,            0.071893,           0.0071149,           0.0064904,           0.0091406,           0.0091406,           0.0091406
